region,date,year,month,day,year_week,task_count
region_a,1/1/2020,2020,1,1,2020_01,5
region_a,1/2/2020,2020,1,2,2020_01,25
region_a,1/5/2020,2020,1,5,2020_01,20
region_a,1/6/2020,2020,1,6,2020_02,20
region_a,1/7/2020,2020,1,7,2020_02,25
region_a,1/8/2020,2020,1,8,2020_02,25
region_a,1/9/2020,2020,1,9,2020_02,40
region_a,1/10/2020,2020,1,10,2020_02,15
region_a,1/12/2020,2020,1,12,2020_02,10
region_a,1/13/2020,2020,1,13,2020_03,25
region_a,1/14/2020,2020,1,14,2020_03,15
region_a,1/15/2020,2020,1,15,2020_03,35
region_a,1/16/2020,2020,1,16,2020_03,20
region_a,1/17/2020,2020,1,17,2020_03,5
region_a,1/18/2020,2020,1,18,2020_03,10
region_a,1/19/2020,2020,1,19,2020_03,25
region_a,1/20/2020,2020,1,20,2020_04,45
region_a,1/21/2020,2020,1,21,2020_04,30
region_a,1/22/2020,2020,1,22,2020_04,30
region_a,1/23/2020,2020,1,23,2020_04,5
region_a,1/24/2020,2020,1,24,2020_04,10
region_a,1/26/2020,2020,1,26,2020_04,5
region_a,1/27/2020,2020,1,27,2020_05,15
region_a,1/28/2020,2020,1,28,2020_05,30
region_a,1/29/2020,2020,1,29,2020_05,35
region_a,1/30/2020,2020,1,30,2020_05,35
region_a,1/31/2020,2020,1,31,2020_05,25
region_a,2/1/2020,2020,2,1,2020_05,10
region_a,2/2/2020,2020,2,2,2020_05,20
region_a,2/3/2020,2020,2,3,2020_06,25
region_a,2/4/2020,2020,2,4,2020_06,45
region_a,2/5/2020,2020,2,5,2020_06,70
region_a,2/6/2020,2020,2,6,2020_06,30
region_a,2/7/2020,2020,2,7,2020_06,20
region_a,2/8/2020,2020,2,8,2020_06,10
region_a,2/9/2020,2020,2,9,2020_06,25
region_a,2/10/2020,2020,2,10,2020_07,35
region_a,2/11/2020,2020,2,11,2020_07,45
region_a,2/12/2020,2020,2,12,2020_07,55
region_a,2/13/2020,2020,2,13,2020_07,75
region_a,2/14/2020,2020,2,14,2020_07,5
region_a,2/16/2020,2020,2,16,2020_07,65
region_a,2/17/2020,2020,2,17,2020_08,55
region_a,2/18/2020,2020,2,18,2020_08,65
region_a,2/19/2020,2020,2,19,2020_08,45
region_a,2/20/2020,2020,2,20,2020_08,75
region_a,2/21/2020,2020,2,21,2020_08,25
region_a,2/23/2020,2020,2,23,2020_08,40
region_a,2/24/2020,2020,2,24,2020_09,60
region_a,2/25/2020,2020,2,25,2020_09,70
region_a,2/26/2020,2020,2,26,2020_09,75
region_a,2/27/2020,2020,2,27,2020_09,55
region_a,2/28/2020,2020,2,28,2020_09,10
region_a,3/1/2020,2020,3,1,2020_09,35
region_a,3/2/2020,2020,3,2,2020_10,55
region_a,3/3/2020,2020,3,3,2020_10,50
region_a,3/4/2020,2020,3,4,2020_10,65
region_a,3/5/2020,2020,3,5,2020_10,75
region_a,3/6/2020,2020,3,6,2020_10,15
region_a,3/8/2020,2020,3,8,2020_10,20
region_a,3/9/2020,2020,3,9,2020_11,70
region_a,3/10/2020,2020,3,10,2020_11,85
region_a,3/11/2020,2020,3,11,2020_11,75
region_a,3/12/2020,2020,3,12,2020_11,65
region_a,3/13/2020,2020,3,13,2020_11,20
region_a,3/15/2020,2020,3,15,2020_11,10
region_a,3/16/2020,2020,3,16,2020_12,25
region_a,3/17/2020,2020,3,17,2020_12,45
region_a,3/18/2020,2020,3,18,2020_12,80
region_a,3/19/2020,2020,3,19,2020_12,65
region_a,3/20/2020,2020,3,20,2020_12,20
region_a,3/22/2020,2020,3,22,2020_12,25
region_a,3/23/2020,2020,3,23,2020_13,25
region_a,3/24/2020,2020,3,24,2020_13,60
region_a,3/25/2020,2020,3,25,2020_13,60
region_a,3/26/2020,2020,3,26,2020_13,50
region_a,3/27/2020,2020,3,27,2020_13,20
region_a,3/29/2020,2020,3,29,2020_13,30
region_a,3/30/2020,2020,3,30,2020_14,45
region_a,3/31/2020,2020,3,31,2020_14,55
region_a,4/1/2020,2020,4,1,2020_14,35
region_a,4/2/2020,2020,4,2,2020_14,35
region_a,4/3/2020,2020,4,3,2020_14,5
region_a,4/5/2020,2020,4,5,2020_14,15
region_a,4/6/2020,2020,4,6,2020_15,55
region_a,4/7/2020,2020,4,7,2020_15,40
region_a,4/8/2020,2020,4,8,2020_15,35
region_a,4/9/2020,2020,4,9,2020_15,50
region_a,4/10/2020,2020,4,10,2020_15,20
region_a,4/12/2020,2020,4,12,2020_15,20
region_a,4/13/2020,2020,4,13,2020_16,40
region_a,4/14/2020,2020,4,14,2020_16,55
region_a,4/15/2020,2020,4,15,2020_16,75
region_a,4/16/2020,2020,4,16,2020_16,60
region_a,4/17/2020,2020,4,17,2020_16,15
region_a,4/19/2020,2020,4,19,2020_16,30
region_a,4/20/2020,2020,4,20,2020_17,80
region_a,4/21/2020,2020,4,21,2020_17,75
region_a,4/22/2020,2020,4,22,2020_17,65
region_a,4/23/2020,2020,4,23,2020_17,70
region_a,4/24/2020,2020,4,24,2020_17,25
region_a,4/26/2020,2020,4,26,2020_17,35
region_a,4/27/2020,2020,4,27,2020_18,55
region_a,4/28/2020,2020,4,28,2020_18,55
region_a,4/29/2020,2020,4,29,2020_18,30
region_a,4/30/2020,2020,4,30,2020_18,20
region_a,5/1/2020,2020,5,1,2020_18,5
region_a,5/3/2020,2020,5,3,2020_18,55
region_a,5/4/2020,2020,5,4,2020_19,75
region_a,5/5/2020,2020,5,5,2020_19,60
region_a,5/6/2020,2020,5,6,2020_19,65
region_a,5/7/2020,2020,5,7,2020_19,70
region_a,5/8/2020,2020,5,8,2020_19,35
region_a,5/10/2020,2020,5,10,2020_19,25
region_a,5/11/2020,2020,5,11,2020_20,65
region_a,5/12/2020,2020,5,12,2020_20,50
region_a,5/13/2020,2020,5,13,2020_20,80
region_a,5/14/2020,2020,5,14,2020_20,90
region_a,5/15/2020,2020,5,15,2020_20,25
region_a,5/17/2020,2020,5,17,2020_20,25
region_a,5/18/2020,2020,5,18,2020_21,75
region_a,5/19/2020,2020,5,19,2020_21,45
region_a,5/20/2020,2020,5,20,2020_21,40
region_a,5/21/2020,2020,5,21,2020_21,35
region_a,5/22/2020,2020,5,22,2020_21,5
region_a,5/23/2020,2020,5,23,2020_21,5
region_a,5/24/2020,2020,5,24,2020_21,10
region_a,5/25/2020,2020,5,25,2020_22,45
region_a,5/26/2020,2020,5,26,2020_22,95
region_a,5/27/2020,2020,5,27,2020_22,75
region_a,5/28/2020,2020,5,28,2020_22,65
region_a,5/29/2020,2020,5,29,2020_22,25
region_a,5/30/2020,2020,5,30,2020_22,5
region_a,5/31/2020,2020,5,31,2020_22,35
region_a,6/1/2020,2020,6,1,2020_23,45
region_a,6/2/2020,2020,6,2,2020_23,70
region_a,6/3/2020,2020,6,3,2020_23,70
region_a,6/4/2020,2020,6,4,2020_23,60
region_a,6/5/2020,2020,6,5,2020_23,35
region_a,6/6/2020,2020,6,6,2020_23,5
region_a,6/7/2020,2020,6,7,2020_23,20
region_a,6/8/2020,2020,6,8,2020_24,75
region_a,6/9/2020,2020,6,9,2020_24,60
region_a,6/10/2020,2020,6,10,2020_24,75
region_a,6/11/2020,2020,6,11,2020_24,115
region_a,6/12/2020,2020,6,12,2020_24,80
region_a,6/14/2020,2020,6,14,2020_24,60
region_a,6/15/2020,2020,6,15,2020_25,30
region_a,6/16/2020,2020,6,16,2020_25,85
region_a,6/17/2020,2020,6,17,2020_25,40
region_a,6/18/2020,2020,6,18,2020_25,90
region_a,6/19/2020,2020,6,19,2020_25,15
region_a,6/20/2020,2020,6,20,2020_25,10
region_a,6/21/2020,2020,6,21,2020_25,60
region_a,6/22/2020,2020,6,22,2020_26,95
region_a,6/23/2020,2020,6,23,2020_26,65
region_a,6/24/2020,2020,6,24,2020_26,45
region_a,6/25/2020,2020,6,25,2020_26,45
region_a,6/26/2020,2020,6,26,2020_26,25
region_a,6/28/2020,2020,6,28,2020_26,15
region_a,6/29/2020,2020,6,29,2020_27,20
region_a,6/30/2020,2020,6,30,2020_27,55
region_a,7/1/2020,2020,7,1,2020_27,70
region_a,7/2/2020,2020,7,2,2020_27,60
region_a,7/3/2020,2020,7,3,2020_27,35
region_a,7/4/2020,2020,7,4,2020_27,5
region_a,7/5/2020,2020,7,5,2020_27,30
region_a,7/6/2020,2020,7,6,2020_28,70
region_a,7/7/2020,2020,7,7,2020_28,45
region_a,7/8/2020,2020,7,8,2020_28,10
region_a,7/9/2020,2020,7,9,2020_28,45
region_a,7/10/2020,2020,7,10,2020_28,20
region_a,7/12/2020,2020,7,12,2020_28,45
region_a,7/13/2020,2020,7,13,2020_29,75
region_a,7/14/2020,2020,7,14,2020_29,85
region_a,7/15/2020,2020,7,15,2020_29,50
region_a,7/16/2020,2020,7,16,2020_29,60
region_a,7/17/2020,2020,7,17,2020_29,35
region_a,7/19/2020,2020,7,19,2020_29,45
region_a,7/20/2020,2020,7,20,2020_30,70
region_a,7/21/2020,2020,7,21,2020_30,80
region_a,7/22/2020,2020,7,22,2020_30,65
region_a,7/23/2020,2020,7,23,2020_30,75
region_a,7/24/2020,2020,7,24,2020_30,30
region_a,7/26/2020,2020,7,26,2020_30,60
region_a,7/27/2020,2020,7,27,2020_31,65
region_a,7/28/2020,2020,7,28,2020_31,75
region_a,7/29/2020,2020,7,29,2020_31,90
region_a,7/30/2020,2020,7,30,2020_31,25
region_a,7/31/2020,2020,7,31,2020_31,15
region_a,8/1/2020,2020,8,1,2020_31,10
region_a,8/2/2020,2020,8,2,2020_31,20
region_a,8/3/2020,2020,8,3,2020_32,85
region_a,8/4/2020,2020,8,4,2020_32,90
region_a,8/5/2020,2020,8,5,2020_32,45
region_a,8/6/2020,2020,8,6,2020_32,60
region_a,8/7/2020,2020,8,7,2020_32,75
region_a,8/8/2020,2020,8,8,2020_32,5
region_a,8/9/2020,2020,8,9,2020_32,35
region_a,8/10/2020,2020,8,10,2020_33,80
region_a,8/11/2020,2020,8,11,2020_33,50
region_a,8/12/2020,2020,8,12,2020_33,95
region_a,8/13/2020,2020,8,13,2020_33,75
region_a,8/14/2020,2020,8,14,2020_33,30
region_a,8/15/2020,2020,8,15,2020_33,10
region_a,8/16/2020,2020,8,16,2020_33,35
region_a,8/17/2020,2020,8,17,2020_34,85
region_a,8/18/2020,2020,8,18,2020_34,80
region_a,8/19/2020,2020,8,19,2020_34,55
region_a,8/20/2020,2020,8,20,2020_34,70
region_a,8/21/2020,2020,8,21,2020_34,35
region_a,8/23/2020,2020,8,23,2020_34,40
region_a,8/24/2020,2020,8,24,2020_35,70
region_a,8/25/2020,2020,8,25,2020_35,110
region_a,8/26/2020,2020,8,26,2020_35,30
region_a,8/27/2020,2020,8,27,2020_35,25
region_a,8/28/2020,2020,8,28,2020_35,35
region_a,8/30/2020,2020,8,30,2020_35,35
region_a,8/31/2020,2020,8,31,2020_36,80
region_a,9/1/2020,2020,9,1,2020_36,75
region_a,9/2/2020,2020,9,2,2020_36,75
region_a,9/3/2020,2020,9,3,2020_36,70
region_a,9/4/2020,2020,9,4,2020_36,50
region_a,9/6/2020,2020,9,6,2020_36,35
region_a,9/7/2020,2020,9,7,2020_37,95
region_a,9/8/2020,2020,9,8,2020_37,105
region_a,9/9/2020,2020,9,9,2020_37,90
region_a,9/10/2020,2020,9,10,2020_37,90
region_a,9/11/2020,2020,9,11,2020_37,35
region_a,9/13/2020,2020,9,13,2020_37,70
region_a,9/14/2020,2020,9,14,2020_38,105
region_a,9/15/2020,2020,9,15,2020_38,90
region_a,9/16/2020,2020,9,16,2020_38,50
region_a,9/17/2020,2020,9,17,2020_38,90
region_a,9/18/2020,2020,9,18,2020_38,25
region_a,9/20/2020,2020,9,20,2020_38,35
region_a,9/21/2020,2020,9,21,2020_39,60
region_a,9/22/2020,2020,9,22,2020_39,80
region_a,9/23/2020,2020,9,23,2020_39,65
region_a,9/24/2020,2020,9,24,2020_39,80
region_a,9/25/2020,2020,9,25,2020_39,35
region_a,9/26/2020,2020,9,26,2020_39,5
region_a,9/27/2020,2020,9,27,2020_39,40
region_a,9/28/2020,2020,9,28,2020_40,105
region_a,9/29/2020,2020,9,29,2020_40,90
region_a,9/30/2020,2020,9,30,2020_40,50
region_a,10/1/2020,2020,10,1,2020_40,55
region_a,10/2/2020,2020,10,2,2020_40,10
region_a,10/4/2020,2020,10,4,2020_40,20
region_a,10/5/2020,2020,10,5,2020_41,90
region_a,10/6/2020,2020,10,6,2020_41,80
region_a,10/7/2020,2020,10,7,2020_41,65
region_a,10/8/2020,2020,10,8,2020_41,75
region_a,10/9/2020,2020,10,9,2020_41,45
region_a,10/10/2020,2020,10,10,2020_41,10
region_a,10/11/2020,2020,10,11,2020_41,35
region_a,10/12/2020,2020,10,12,2020_42,155
region_a,10/13/2020,2020,10,13,2020_42,100
region_a,10/14/2020,2020,10,14,2020_42,95
region_a,10/15/2020,2020,10,15,2020_42,110
region_a,10/16/2020,2020,10,16,2020_42,35
region_a,10/18/2020,2020,10,18,2020_42,30
region_a,10/19/2020,2020,10,19,2020_43,135
region_a,10/20/2020,2020,10,20,2020_43,130
region_a,10/21/2020,2020,10,21,2020_43,70
region_a,10/22/2020,2020,10,22,2020_43,95
region_a,10/23/2020,2020,10,23,2020_43,25
region_a,10/25/2020,2020,10,25,2020_43,35
region_a,10/26/2020,2020,10,26,2020_44,85
region_a,10/27/2020,2020,10,27,2020_44,110
region_a,10/28/2020,2020,10,28,2020_44,85
region_a,10/29/2020,2020,10,29,2020_44,120
region_a,10/30/2020,2020,10,30,2020_44,30
region_a,11/1/2020,2020,11,1,2020_44,50
region_a,11/2/2020,2020,11,2,2020_45,80
region_a,11/3/2020,2020,11,3,2020_45,90
region_a,11/4/2020,2020,11,4,2020_45,80
region_a,11/5/2020,2020,11,5,2020_45,90
region_a,11/6/2020,2020,11,6,2020_45,35
region_a,11/7/2020,2020,11,7,2020_45,5
region_a,11/8/2020,2020,11,8,2020_45,25
region_a,11/9/2020,2020,11,9,2020_46,65
region_a,11/10/2020,2020,11,10,2020_46,55
region_a,11/11/2020,2020,11,11,2020_46,90
region_a,11/12/2020,2020,11,12,2020_46,35
region_a,11/13/2020,2020,11,13,2020_46,40
region_a,11/15/2020,2020,11,15,2020_46,45
region_a,11/16/2020,2020,11,16,2020_47,75
region_a,11/17/2020,2020,11,17,2020_47,95
region_a,11/18/2020,2020,11,18,2020_47,135
region_a,11/19/2020,2020,11,19,2020_47,120
region_a,11/20/2020,2020,11,20,2020_47,35
region_a,11/22/2020,2020,11,22,2020_47,20
region_a,11/23/2020,2020,11,23,2020_48,25
region_a,11/24/2020,2020,11,24,2020_48,25
region_a,11/25/2020,2020,11,25,2020_48,55
region_a,11/26/2020,2020,11,26,2020_48,70
region_a,11/27/2020,2020,11,27,2020_48,25
region_a,11/29/2020,2020,11,29,2020_48,35
region_a,11/30/2020,2020,11,30,2020_49,90
region_a,12/1/2020,2020,12,1,2020_49,70
region_a,12/2/2020,2020,12,2,2020_49,85
region_a,12/3/2020,2020,12,3,2020_49,85
region_a,12/4/2020,2020,12,4,2020_49,65
region_a,12/5/2020,2020,12,5,2020_49,5
region_a,12/6/2020,2020,12,6,2020_49,95
region_a,12/7/2020,2020,12,7,2020_50,80
region_a,12/8/2020,2020,12,8,2020_50,70
region_a,12/9/2020,2020,12,9,2020_50,85
region_a,12/10/2020,2020,12,10,2020_50,40
region_a,12/11/2020,2020,12,11,2020_50,10
region_a,12/13/2020,2020,12,13,2020_50,25
region_a,12/14/2020,2020,12,14,2020_51,80
region_a,12/15/2020,2020,12,15,2020_51,45
region_a,12/16/2020,2020,12,16,2020_51,95
region_a,12/17/2020,2020,12,17,2020_51,75
region_a,12/18/2020,2020,12,18,2020_51,15
region_a,12/20/2020,2020,12,20,2020_51,25
region_a,12/21/2020,2020,12,21,2020_52,60
region_a,12/22/2020,2020,12,22,2020_52,45
region_a,12/23/2020,2020,12,23,2020_52,25
region_a,12/24/2020,2020,12,24,2020_52,30
region_a,12/25/2020,2020,12,25,2020_52,5
region_a,12/27/2020,2020,12,27,2020_52,30
region_a,12/28/2020,2020,12,28,2020_53,25
region_a,12/29/2020,2020,12,29,2020_53,20
region_a,12/30/2020,2020,12,30,2020_53,5
region_a,1/3/2021,2021,1,3,2021_53,40
region_a,1/4/2021,2021,1,4,2021_01,50
region_a,1/5/2021,2021,1,5,2021_01,55
region_a,1/6/2021,2021,1,6,2021_01,85
region_a,1/7/2021,2021,1,7,2021_01,45
region_a,1/8/2021,2021,1,8,2021_01,30
region_a,1/10/2021,2021,1,10,2021_01,35
region_a,1/11/2021,2021,1,11,2021_02,65
region_a,1/12/2021,2021,1,12,2021_02,85
region_a,1/13/2021,2021,1,13,2021_02,90
region_a,1/14/2021,2021,1,14,2021_02,75
region_a,1/15/2021,2021,1,15,2021_02,35
region_a,1/17/2021,2021,1,17,2021_02,50
region_a,1/18/2021,2021,1,18,2021_03,75
region_a,1/19/2021,2021,1,19,2021_03,85
region_a,1/20/2021,2021,1,20,2021_03,140
region_a,1/21/2021,2021,1,21,2021_03,110
region_a,1/22/2021,2021,1,22,2021_03,20
region_a,1/24/2021,2021,1,24,2021_03,55
region_a,1/25/2021,2021,1,25,2021_04,95
region_a,1/26/2021,2021,1,26,2021_04,105
region_a,1/27/2021,2021,1,27,2021_04,110
region_a,1/28/2021,2021,1,28,2021_04,85
region_a,1/29/2021,2021,1,29,2021_04,35
region_a,1/31/2021,2021,1,31,2021_04,60
region_a,2/1/2021,2021,2,1,2021_05,145
region_a,2/2/2021,2021,2,2,2021_05,90
region_a,2/3/2021,2021,2,3,2021_05,120
region_a,2/4/2021,2021,2,4,2021_05,100
region_a,2/5/2021,2021,2,5,2021_05,55
region_a,2/7/2021,2021,2,7,2021_05,75
region_a,2/8/2021,2021,2,8,2021_06,130
region_a,2/9/2021,2021,2,9,2021_06,65
region_a,2/10/2021,2021,2,10,2021_06,80
region_a,2/11/2021,2021,2,11,2021_06,45
region_a,2/12/2021,2021,2,12,2021_06,10
region_a,2/14/2021,2021,2,14,2021_06,45
region_a,2/15/2021,2021,2,15,2021_07,75
region_a,2/16/2021,2021,2,16,2021_07,70
region_a,2/17/2021,2021,2,17,2021_07,145
region_a,2/18/2021,2021,2,18,2021_07,80
region_a,2/19/2021,2021,2,19,2021_07,65
region_a,2/20/2021,2021,2,20,2021_07,5
region_a,2/21/2021,2021,2,21,2021_07,55
region_a,2/22/2021,2021,2,22,2021_08,125
region_a,2/23/2021,2021,2,23,2021_08,120
region_a,2/24/2021,2021,2,24,2021_08,115
region_a,2/25/2021,2021,2,25,2021_08,90
region_a,2/26/2021,2021,2,26,2021_08,35
region_a,2/28/2021,2021,2,28,2021_08,55
region_a,3/1/2021,2021,3,1,2021_09,170
region_a,3/2/2021,2021,3,2,2021_09,105
region_a,3/3/2021,2021,3,3,2021_09,170
region_a,3/4/2021,2021,3,4,2021_09,110
region_a,3/5/2021,2021,3,5,2021_09,35
region_a,3/6/2021,2021,3,6,2021_09,5
region_a,3/7/2021,2021,3,7,2021_09,70
region_a,3/8/2021,2021,3,8,2021_10,150
region_a,3/9/2021,2021,3,9,2021_10,145
region_a,3/10/2021,2021,3,10,2021_10,185
region_a,3/11/2021,2021,3,11,2021_10,115
region_a,3/12/2021,2021,3,12,2021_10,10
region_a,3/13/2021,2021,3,13,2021_10,5
region_a,3/14/2021,2021,3,14,2021_10,50
region_a,3/15/2021,2021,3,15,2021_11,135
region_a,3/16/2021,2021,3,16,2021_11,130
region_a,3/17/2021,2021,3,17,2021_11,150
region_a,3/18/2021,2021,3,18,2021_11,165
region_a,3/19/2021,2021,3,19,2021_11,35
region_a,3/21/2021,2021,3,21,2021_11,55
region_a,3/22/2021,2021,3,22,2021_12,155
region_a,3/23/2021,2021,3,23,2021_12,105
region_a,3/24/2021,2021,3,24,2021_12,90
region_a,3/25/2021,2021,3,25,2021_12,95
region_a,3/26/2021,2021,3,26,2021_12,50
region_a,3/28/2021,2021,3,28,2021_12,25
region_a,3/29/2021,2021,3,29,2021_13,135
region_a,3/30/2021,2021,3,30,2021_13,155
region_a,3/31/2021,2021,3,31,2021_13,85
region_a,4/1/2021,2021,4,1,2021_13,115
region_a,4/2/2021,2021,4,2,2021_13,5
region_a,4/3/2021,2021,4,3,2021_13,10
region_a,4/4/2021,2021,4,4,2021_13,35
region_a,4/5/2021,2021,4,5,2021_14,110
region_a,4/6/2021,2021,4,6,2021_14,125
region_a,4/7/2021,2021,4,7,2021_14,160
region_a,4/8/2021,2021,4,8,2021_14,105
region_a,4/9/2021,2021,4,9,2021_14,20
region_a,4/10/2021,2021,4,10,2021_14,10
region_a,4/11/2021,2021,4,11,2021_14,50
region_a,4/12/2021,2021,4,12,2021_15,190
region_a,4/13/2021,2021,4,13,2021_15,120
region_a,4/14/2021,2021,4,14,2021_15,150
region_a,4/15/2021,2021,4,15,2021_15,125
region_a,4/16/2021,2021,4,16,2021_15,25
region_a,4/17/2021,2021,4,17,2021_15,10
region_a,4/18/2021,2021,4,18,2021_15,95
region_a,4/19/2021,2021,4,19,2021_16,145
region_a,4/20/2021,2021,4,20,2021_16,140
region_a,4/21/2021,2021,4,21,2021_16,185
region_a,4/22/2021,2021,4,22,2021_16,150
region_a,4/23/2021,2021,4,23,2021_16,70
region_a,4/24/2021,2021,4,24,2021_16,10
region_a,4/25/2021,2021,4,25,2021_16,120
region_a,4/26/2021,2021,4,26,2021_17,215
region_a,4/27/2021,2021,4,27,2021_17,210
region_a,4/28/2021,2021,4,28,2021_17,235
region_a,4/29/2021,2021,4,29,2021_17,180
region_a,4/30/2021,2021,4,30,2021_17,90
region_a,5/1/2021,2021,5,1,2021_17,15
region_a,5/2/2021,2021,5,2,2021_17,45
region_a,5/3/2021,2021,5,3,2021_18,140
region_a,5/4/2021,2021,5,4,2021_18,200
region_a,5/5/2021,2021,5,5,2021_18,135
region_a,5/6/2021,2021,5,6,2021_18,150
region_a,5/7/2021,2021,5,7,2021_18,30
region_a,5/8/2021,2021,5,8,2021_18,5
region_a,5/9/2021,2021,5,9,2021_18,120
region_a,5/10/2021,2021,5,10,2021_19,215
region_a,5/11/2021,2021,5,11,2021_19,175
region_a,5/12/2021,2021,5,12,2021_19,155
region_a,5/13/2021,2021,5,13,2021_19,115
region_a,5/14/2021,2021,5,14,2021_19,45
region_a,5/15/2021,2021,5,15,2021_19,10
region_a,5/16/2021,2021,5,16,2021_19,65
region_a,5/17/2021,2021,5,17,2021_20,120
region_a,5/18/2021,2021,5,18,2021_20,175
region_a,5/19/2021,2021,5,19,2021_20,115
region_a,5/20/2021,2021,5,20,2021_20,135
region_a,5/21/2021,2021,5,21,2021_20,45
region_a,5/23/2021,2021,5,23,2021_20,75
region_a,5/24/2021,2021,5,24,2021_21,185
region_a,5/25/2021,2021,5,25,2021_21,65
region_a,5/26/2021,2021,5,26,2021_21,115
region_a,5/27/2021,2021,5,27,2021_21,90
region_a,5/28/2021,2021,5,28,2021_21,20
region_a,5/30/2021,2021,5,30,2021_21,125
region_b,1/2/2020,2020,1,2,2020_01,15
region_b,1/3/2020,2020,1,3,2020_01,5
region_b,1/4/2020,2020,1,4,2020_01,5
region_b,1/5/2020,2020,1,5,2020_01,5
region_b,1/7/2020,2020,1,7,2020_02,35
region_b,1/8/2020,2020,1,8,2020_02,40
region_b,1/9/2020,2020,1,9,2020_02,85
region_b,1/10/2020,2020,1,10,2020_02,40
region_b,1/11/2020,2020,1,11,2020_02,10
region_b,1/13/2020,2020,1,13,2020_03,70
region_b,1/14/2020,2020,1,14,2020_03,65
region_b,1/15/2020,2020,1,15,2020_03,40
region_b,1/16/2020,2020,1,16,2020_03,80
region_b,1/17/2020,2020,1,17,2020_03,40
region_b,1/20/2020,2020,1,20,2020_04,90
